Word/Phrase,TF-IDF_Average,Primary_Sentiment,Sentiment_Coefficient,negative_coef,neutral_coef,positive_coef
customers who,0.0004136319128268276,negative,-0.15802080029456583,-0.15802080029456583,0.012306686328607158,0.1457141139659582
picked up,0.00041355591816580377,neutral,-0.20052034982753736,0.16302544736941854,-0.20052034982753736,0.03749490245811849
handed me,0.00041338169429398644,neutral,-0.07404459780726687,0.026956467066821563,-0.07404459780726687,0.04708813074044544
drip,0.0004132255581510579,neutral,-0.2616425827257878,0.1540563383288563,-0.2616425827257878,0.10758624439693114
rolled,0.00041316732143032033,positive,-0.11505109658401129,0.03616965781158859,0.07888143877242246,-0.11505109658401129
managers,0.00041312974242199257,positive,-0.08494919450238116,0.05828673608329151,0.026662458419089506,-0.08494919450238116
pump,0.00041307398245566724,positive,0.30198334246179975,-0.2930614198234811,-0.008921922638319719,0.30198334246179975
two times,0.0004129396229287847,neutral,0.27685914087747665,-0.009375024690164862,0.27685914087747665,-0.26748411618731127
the friendly,0.00041288846912885684,neutral,-0.17722170484311994,0.02971896015996822,-0.17722170484311994,0.14750274468315125
pulled up,0.0004128729650722394,neutral,0.08071750670548185,-0.041654407177919656,0.08071750670548185,-0.039063099527562165
the restrooms,0.00041281255510132567,negative,0.10477552516419862,0.10477552516419862,-0.015544721763597537,-0.08923080340060109
friendly as,0.00041276010169099506,neutral,0.2769538467528688,-0.1475313054574788,0.2769538467528688,-0.12942254129538933
other customers,0.00041272905037047935,negative,0.04423510920644454,0.04423510920644454,-0.039506771104218665,-0.00472833810222582
starbucks would,0.0004127193342434406,neutral,-0.10595152462094998,0.005402144561145121,-0.10595152462094998,0.10054938005980492
lower,0.00041270459926374015,neutral,0.2218609221140314,-0.05885291837661387,0.2218609221140314,-0.16300800373741706
so had,0.00041266634608505933,neutral,0.2044066054733953,-0.12238965301512349,0.2044066054733953,-0.08201695245827206
17,0.00041255347603990115,negative,-0.13808101488667207,-0.13808101488667207,0.11353994923208131,0.02454106565459133
best to,0.000412519551664301,positive,-0.22413189153373905,0.18222892185524553,0.04190296967849466,-0.22413189153373905
park and,0.00041251442323056843,negative,-0.07271954525242261,-0.07271954525242261,0.0271385050441029,0.045581040208319504
cold foam,0.0004123711163098549,neutral,-0.24480171795449462,0.18843617799775528,-0.24480171795449462,0.05636553995673974
service it,0.000412363586566466,neutral,0.3573808684590559,-0.3494458155075251,0.3573808684590559,-0.007935052951531452
coffee drinks,0.0004123604618361118,neutral,-0.10217182585478718,0.055249873005711096,-0.10217182585478718,0.04692195284907619
consider,0.00041227076935321824,neutral,0.502200358680716,-0.1488737423334462,0.502200358680716,-0.3533266163472698
park in,0.00041226931091488286,neutral,0.10934067241320214,-0.03626552400778862,0.10934067241320214,-0.07307514840541389
better service,0.00041224933103349256,negative,0.3043193670111144,0.3043193670111144,-0.19132565071044097,-0.11299371630067252
it worth,0.0004122198347462132,positive,0.11178734039780734,-0.007081196004800268,-0.10470614439300704,0.11178734039780734
how busy,0.0004122105918136725,positive,0.2571007904813238,-0.1741162286998186,-0.08298456178150518,0.2571007904813238
you in,0.0004122034804607434,negative,0.24789707324985205,0.24789707324985205,-0.18654964671737542,-0.06134742653247732
hope they,0.0004120753275804708,neutral,0.41084491010981433,-0.37888685515511217,0.41084491010981433,-0.03195805495470325
my dog,0.00041195397208805627,positive,0.4025722140108855,-0.17634756496528478,-0.22622464904560383,0.4025722140108855
times it,0.00041170045657878095,positive,-0.1462712851452423,0.1275176763255241,0.018753608819717844,-0.1462712851452423
had it,0.0004115363787756336,positive,0.35905995180504335,-0.07035788522591938,-0.28870206657912345,0.35905995180504335
when order,0.00041153213908415754,positive,0.0855795468928048,-0.00847661225531967,-0.07710293463748509,0.0855795468928048
now it,0.0004114988507115839,negative,-0.21184983753826284,-0.21184983753826284,0.14281438840282681,0.0690354491354367
ve gotten,0.00041142596849779795,positive,0.11908309773994386,-0.018159391551626877,-0.10092370618831692,0.11908309773994386
know me,0.00041139765791505716,negative,-0.18751939809912677,-0.18751939809912677,0.0640164371064699,0.12350296099265598
friendliness,0.0004113950482305282,neutral,0.4565310191096449,-0.37935618466191046,0.4565310191096449,-0.07717483444773304
interested,0.00041123883533526577,positive,-0.13481770969145918,0.015717670983041474,0.11910003870841777,-0.13481770969145918
walked out,0.0004112241132804928,negative,0.32932340540839383,0.32932340540839383,-0.09965420439512915,-0.22966920101326507
friends and,0.000411167058472057,negative,-0.15187324097424376,-0.15187324097424376,0.009626311752195199,0.14224692922204848
to our,0.0004111245525876221,negative,-0.21259510457638803,-0.21259510457638803,0.15551144986951584,0.057083654706871614
check out,0.00041111117628276657,negative,-0.10396690207537602,-0.10396690207537602,0.06498630126144196,0.03898060081393414
to handle,0.0004110579749176779,neutral,0.28442993314342385,-0.1282798338079849,0.28442993314342385,-0.15615009933543927
dude,0.0004109962081166644,neutral,-0.1744994890029602,0.09895772640133256,-0.1744994890029602,0.07554176260162737
going through,0.00041090511915050406,neutral,0.18319249998404202,-0.08994581374942001,0.18319249998404202,-0.09324668623462162
don come,0.0004108635881451489,negative,0.2612159670941429,0.2612159670941429,-0.20343463632051123,-0.05778133077363271
it tastes,0.0004108397934205088,negative,0.2070297813535466,0.2070297813535466,-0.13845052668921676,-0.06857925466432933
tea with,0.0004108196849224461,neutral,-0.17344717017479672,0.07388957945152787,-0.17344717017479672,0.09955759072326925
through drive,0.0004108134994604058,positive,0.1804052288119175,-0.14466992451780059,-0.0357353042941164,0.1804052288119175
few months,0.0004107099397591561,neutral,-0.20755690370279464,0.18838580486489606,-0.20755690370279464,0.019171098837898425
mouth,0.00041049919594212037,negative,0.14062419612480362,0.14062419612480362,-0.07873331916854967,-0.0618908769562543
and tasted,0.0004104815906222574,neutral,0.1654671889519062,-0.09683468725446555,0.1654671889519062,-0.06863250169744128
not at,0.0004104747558502975,neutral,0.5105714056516653,-0.19334714457698554,0.5105714056516653,-0.3172242610746795
starbucks customer,0.0004103833288793743,negative,0.15693219455332458,0.15693219455332458,-0.12909743252051809,-0.027834762032807134
find another,0.0004103483208377749,negative,0.29984304507574,0.29984304507574,-0.038574501792412424,-0.26126854328332655
half the,0.0004102228135074254,positive,-0.377956707840988,0.22704501852779113,0.15091168931319657,-0.377956707840988
take care,0.00041003787031364036,negative,-0.2501015194433192,-0.2501015194433192,0.2070897216196208,0.04301179782369812
